MaxOnes 100 12 0.01 0.50
160 100.000000 92.010443 98.67% Identical
161 100.000000 85.345965 98.67% Identical
162 100.000000 97.337660 98.67% Identical
163 100.000000 90.681823 98.67% Identical
164 100.000000 88.024873 98.67% Identical
165 100.000000 97.343404 98.67% Identical
166 100.000000 90.671977 98.67% Identical
167 100.000000 86.652021 98.67% Identical
168 100.000000 91.992959 98.67% Identical
169 100.000000 91.991641 98.67% Identical
170 100.000000 96.001166 98.67% Identical
171 100.000000 97.331074 98.67% Identical
172 100.000000 88.003353 98.67% Identical
173 100.000000 89.356244 98.67% Identical
174 100.000000 94.658925 98.67% Identical
175 100.000000 94.660317 98.67% Identical
176 100.000000 86.681132 98.67% Identical
177 100.000000 94.635840 98.67% Identical
178 100.000000 91.983347 98.67% Identical
179 100.000000 90.678370 98.67% Identical
180 100.000000 90.673811 98.67% Identical
181 100.000000 90.678793 98.67% Identical
182 100.000000 93.338695 98.67% Identical
183 100.000000 89.334533 98.67% Identical
184 100.000000 90.671208 98.67% Identical
185 100.000000 93.336146 98.67% Identical
186 100.000000 94.658919 98.67% Identical
187 100.000000 96.012439 98.67% Identical
188 100.000000 97.337854 98.67% Identical
189 100.000000 90.661245 98.67% Identical
190 100.000000 94.681528 98.67% Identical
191 100.000000 89.337323 98.67% Identical
192 100.000000 88.001590 98.67% Identical
193 100.000000 85.341379 98.67% Identical
194 100.000000 92.000374 98.67% Identical
195 100.000000 98.669780 98.67% Identical
196 100.000000 97.344486 98.67% Identical
197 100.000000 90.677594 98.67% Identical
198 100.000000 99.993300 98.67% Identical
199 100.000000 92.014983 98.67% Identical
200 100.000000 87.995591 98.67% Identical
201 100.000000 93.326601 98.67% Identical
202 100.000000 96.008182 98.67% Identical
203 100.000000 85.320705 98.67% Identical
204 100.000000 90.667686 98.67% Identical
205 100.000000 90.675600 98.67% Identical
206 100.000000 90.666469 98.67% Identical
207 100.000000 89.345104 98.67% Identical
208 100.000000 93.338695 98.67% Identical
209 100.000000 86.657391 98.67% Identical
210 100.000000 88.004278 98.67% Identical
211 100.000000 86.689197 98.67% Identical
212 100.000000 93.350149 98.67% Identical
213 100.000000 85.339218 98.67% Identical
214 100.000000 96.012990 98.67% Identical
215 100.000000 93.330976 98.67% Identical
